Pos (x,y,th); (-98.0,743.0,-74.0)
X;Y
189.00;-854.00
258.00;-833.00
325.00;-807.00
390.00;-778.00
460.00;-761.00
524.00;-731.00
595.00;-713.00
931.00;-1216.00
1005.00;-1204.00
1075.00;-1184.00
1147.00;-1164.00
1219.00;-1141.00
Fin***;***Fin
X;Y
185.00;-1471.00;;126.385.025;225.808.121;1.341.503.906
252.00;-1447.00;;126.870.125;272.280.975;1.333.535.156
189.00;-854.00;;78.789.520;276.073.669;1.346.216.797
258.00;-833.00;;80.499.069;224.606.705;1.331.472.534
325.00;-807.00;;28.445.549;229.620.331;1.353.821.899
393.00;-786.00;;31.187.849;271.212.860;1.313.582.520
459.00;-760.00;;-18.258.598;272.214.996;1.312.184.814
524.00;-731.00;;-67.920.471;225.514.786;1.318.636.963
591.00;-706.00;;-119.691.322;228.235.504;1.326.577.881
931.00;-1216.00;;-117.005.043;274.026.733;1.307.609.863
1005.00;-1205.00;Promedio ->;;;1.328.514.233,30  
1075.00;-1184.00;;;;
Fin***;***Fin;;;;
X;Y;;;;
251.00;-1441.00;;;;
190.00;-857.00;;;;
257.00;-828.00
327.00;-811.00
392.00;-781.00
457.00;-755.00
526.00;-735.00
593.00;-710.00
934.00;-1220.00
1008.00;-1210.00
1073.00;-1182.00
1145.00;-1161.00
Fin***;***Fin
